County,State,Total defense spending in (billions)
NIAGARA,NEW YORK,$0.34B
DENALI,ALASKA,$0.34B
HOKE,NORTH CAROLINA,$0.33B
ROCKINGHAM,NORTH CAROLINA,$0.33B
HARDEMAN,TENNESSEE,$0.33B
SONOMA,CALIFORNIA,$0.32B
SUMMIT,OHIO,$0.32B
CLINTON,MICHIGAN,$0.32B
MONTGOMERY,VIRGINIA,$0.32B
NO COUNTY LISTED,KANSAS,$0.32B
ALACHUA,FLORIDA,$0.32B
MINERAL,NEVADA,$0.32B
PISCATAQUIS,MAINE,$0.32B
PASCO,FLORIDA,$0.32B
KNOX,TENNESSEE,$0.32B
DAKOTA,MINNESOTA,$0.32B
PENOBSCOT,MAINE,$0.31B
FREMONT,IOWA,$0.31B
SAINT CHARLES,MISSOURI,$0.31B
NO COUNTY LISTED,CONNECTICUT,$0.31B
NO COUNTY LISTED,UTAH,$0.31B
NO COUNTY LISTED,WISCONSIN,$0.30B
WASHINGTON,PENNSYLVANIA,$0.30B
BROOME,NEW YORK,$0.30B
WILLIAMSBURG CITY,VIRGINIA,$0.30B
MANATEE,FLORIDA,$0.29B
SEBASTIAN,ARKANSAS,$0.29B
CAYEY,PUERTO RICO,$0.29B
CUMBERLAND,NEW JERSEY,$0.29B
WARREN,OHIO,$0.29B
NO COUNTY LISTED,ALASKA,$0.29B
NO COUNTY LISTED,IDAHO,$0.29B
JEFFERSON,LOUISIANA,$0.29B
CALCASIEU,LOUISIANA,$0.29B
NO COUNTY LISTED,RHODE ISLAND,$0.29B
CLAY,FLORIDA,$0.28B
NO COUNTY LISTED,NEBRASKA,$0.28B
HAMPDEN,MASSACHUSETTS,$0.28B
LAKE,MONTANA,$0.28B
UMATILLA,OREGON,$0.27B
TUSCALOOSA,ALABAMA,$0.27B
NO COUNTY LISTED,MONTANA,$0.27B
CAMUY,PUERTO RICO,$0.27B
KLEBERG,TEXAS,$0.27B
ADAMS,PENNSYLVANIA,$0.27B
SAINT JOHNS,FLORIDA,$0.27B
NO COUNTY LISTED,COLORADO,$0.27B
ERIE,PENNSYLVANIA,$0.27B
BRAZORIA,TEXAS,$0.27B
JACKSON,OKLAHOMA,$0.27B
TOM GREEN,TEXAS,$0.27B
CARROLL,MARYLAND,$0.26B
NO COUNTY LISTED,OKLAHOMA,$0.26B
HAMILTON,TENNESSEE,$0.26B
ADDISON,VERMONT,$0.26B
NO COUNTY LISTED,NEW MEXICO,$0.26B
NO COUNTY LISTED,OREGON,$0.26B
ALLEN,OHIO,$0.26B
ARMSTRONG,PENNSYLVANIA,$0.25B
NO COUNTY LISTED,SOUTH CAROLINA,$0.25B
MCCREARY,KENTUCKY,$0.25B
HICKMAN,TENNESSEE,$0.25B
NO COUNTY LISTED,NEW JERSEY,$0.25B
HOWELL,MISSOURI,$0.24B
BONNEVILLE,IDAHO,$0.24B
LANCASTER,PENNSYLVANIA,$0.24B
FORSYTH,NORTH CAROLINA,$0.24B
ANDERSON,TENNESSEE,$0.24B
CLATSOP,OREGON,$0.24B
RICHMOND CITY,VIRGINIA,$0.24B
NO COUNTY LISTED,PALAU,$0.24B
BRONX,NEW YORK,$0.23B
DENTON,TEXAS,$0.23B
CLEVELAND,OKLAHOMA,$0.23B
DAVIESS,INDIANA,$0.23B
IMPERIAL,CALIFORNIA,$0.23B
PROVIDENCE,RHODE ISLAND,$0.23B
DELAWARE,OHIO,$0.23B
MONONGALIA,WEST VIRGINIA,$0.23B
AUSTIN,TEXAS,$0.23B
DESOTO,MISSISSIPPI,$0.22B
NO COUNTY LISTED,DISTRICT OF COLUMBIA,$0.22B
PITT,NORTH CAROLINA,$0.22B
ADA,IDAHO,$0.22B
DALLAS,ALABAMA,$0.22B
JOHNSON,IOWA,$0.22B
CHAMPAIGN,ILLINOIS,$0.22B
SCHENECTADY,NEW YORK,$0.22B
CHARLOTTESVILLE CITY,VIRGINIA,$0.22B
ATCHISON,MISSOURI,$0.22B
NO COUNTY LISTED,WEST VIRGINIA,$0.22B
DORCHESTER,SOUTH CAROLINA,$0.22B
WINSTON,MISSISSIPPI,$0.21B
FREDERICKSBURG CITY,VIRGINIA,$0.21B
KLAMATH,OREGON,$0.21B
MINNEHAHA,SOUTH DAKOTA,$0.21B
LIVINGSTON,MICHIGAN,$0.21B
PETERSBURG CITY,VIRGINIA,$0.21B
CLARK,WASHINGTON,$0.21B
STANISLAUS,CALIFORNIA,$0.21B
CLAYTON,GEORGIA,$0.21B
COLUMBIA,GEORGIA,$0.21B
JASPER,MISSOURI,$0.21B
CHARLES MIX,SOUTH DAKOTA,$0.21B
LAJAS,PUERTO RICO,$0.20B
NO COUNTY LISTED,TENNESSEE,$0.20B
NO COUNTY LISTED,VERMONT,$0.20B
DEKALB,GEORGIA,$0.20B
WASHINGTON,OREGON,$0.20B
WILL,ILLINOIS,$0.20B
SALEM,NEW JERSEY,$0.20B
ARKANSAS,ARKANSAS,$0.20B
LAKE,OHIO,$0.20B
SKAGIT,WASHINGTON,$0.20B
NO COUNTY LISTED,KENTUCKY,$0.19B
WALLER,TEXAS,$0.19B
