County,State,Total defense spending in (billions)
BETHEL,ALASKA,$0.00B
DOUGLAS,MINNESOTA,$0.00B
ANDERSON,KENTUCKY,$0.00B
BROOKS,TEXAS,$0.00B
EDGECOMBE,NORTH CAROLINA,$0.00B
THROCKMORTON,TEXAS,$0.00B
WASHITA,OKLAHOMA,$0.00B
LINCOLN,NEBRASKA,$0.00B
SAINT MARTIN,LOUISIANA,$0.00B
ONTONAGON,MICHIGAN,$0.00B
DAVISON,SOUTH DAKOTA,$0.00B
PIKE,PENNSYLVANIA,$0.00B
GRIMES,TEXAS,$0.00B
MANASSAS PARK CITY,VIRGINIA,$0.00B
SURRY,VIRGINIA,$0.00B
GRADY,OKLAHOMA,$0.00B
ST. JOHNS,FLORIDA,$0.00B
LAKE,OREGON,$0.00B
HOLMES,OHIO,$0.00B
CULLMAN,ALABAMA,$0.00B
MEIGS,OHIO,$0.00B
TORRANCE,NEW MEXICO,$0.00B
TUOLUMNE,CALIFORNIA,$0.00B
ALLEGHANY,VIRGINIA,$0.00B
HYDE,NORTH CAROLINA,$0.00B
LUCE,MICHIGAN,$0.00B
UNION,ARKANSAS,$0.00B
CORTLAND,NEW YORK,$0.00B
JEFFERSON,IDAHO,$0.00B
BUCHANAN,VIRGINIA,$0.00B
RANDALL,TEXAS,$0.00B
AMITE,MISSISSIPPI,$0.00B
MCLEAN,KENTUCKY,$0.00B
TRUJILLO ALTO,PUERTO RICO,$0.00B
ITAWAMBA,MISSISSIPPI,$0.00B
MENOMINEE,MICHIGAN,$0.00B
BATH,KENTUCKY,$0.00B
DE BACA,NEW MEXICO,$0.00B
BRECKINRIDGE,KENTUCKY,$0.00B
GREENE,PENNSYLVANIA,$0.00B
SIOUX,IOWA,$0.00B
CARROLL,IOWA,$0.00B
CRAWFORD,KANSAS,$0.00B
RICHLAND,ILLINOIS,$0.00B
LIBERTY,TEXAS,$0.00B
OGLE,ILLINOIS,$0.00B
SCOTT,TENNESSEE,$0.00B
CLAY,ALABAMA,$0.00B
HENDERSON,TENNESSEE,$0.00B
CARTER,TENNESSEE,$0.00B
MOCA,PUERTO RICO,$0.00B
WARREN,NEW YORK,$0.00B
CATRON,NEW MEXICO,$0.00B
STEPHENS,GEORGIA,$0.00B
MIDLAND,TEXAS,$0.00B
RINCON,PUERTO RICO,$0.00B
SAINT JOSEPH,MICHIGAN,$0.00B
CURRY,OREGON,$0.00B
WALDO,MAINE,$0.00B
WAYNESBORO CITY,VIRGINIA,$0.00B
SHELBY,KENTUCKY,$0.00B
MINGO,WEST VIRGINIA,$0.00B
PICKENS,GEORGIA,$0.00B
LAKE,COLORADO,$0.00B
HURON,MICHIGAN,$0.00B
LAWRENCE,KENTUCKY,$0.00B
PLUMAS,CALIFORNIA,$0.00B
CIDRA,PUERTO RICO,$0.00B
EDDY,NORTH DAKOTA,$0.00B
GRANT,OREGON,$0.00B
JACKSON,KENTUCKY,$0.00B
DEWITT,ILLINOIS,$0.00B
DAVIE,NORTH CAROLINA,$0.00B
FREESTONE,TEXAS,$0.00B
MIAMI,KANSAS,$0.00B
LEE,NORTH CAROLINA,$0.00B
CARROLL,OHIO,$0.00B
LESLIE,KENTUCKY,$0.00B
VALDEZ-CORDOVA (CA),ALASKA,$0.00B
OGLALA LAKOTA,SOUTH DAKOTA,$0.00B
SAN AUGUSTINE,TEXAS,$0.00B
BUTTE,SOUTH DAKOTA,$0.00B
CHEROKEE,TEXAS,$0.00B
NOBLE,OHIO,$0.00B
LAWRENCE,ALABAMA,$0.00B
LENAWEE,MICHIGAN,$0.00B
KNOX,ILLINOIS,$0.00B
SCHUYLER,ILLINOIS,$0.00B
LINCOLN,NEVADA,$0.00B
LEE,GEORGIA,$0.00B
BEDFORD CITY,VIRGINIA,$0.00B
SEVIER,TENNESSEE,$0.00B
UNION,OREGON,$0.00B
FAYETTE,TEXAS,$0.00B
WASECA,MINNESOTA,$0.00B
WILLIAMS,NORTH DAKOTA,$0.00B
POQUOSON (CITY),VIRGINIA,$0.00B
PORTSMOUTH (CITY),VIRGINIA,$0.00B
SALEM (CITY),VIRGINIA,$0.00B
DADE,MISSOURI,$0.00B
WASHINGTON,GEORGIA,$0.00B
FLOYD,GEORGIA,$0.00B
BACON,GEORGIA,$0.00B
ANDERSON,TEXAS,$0.00B
COFFEE,GEORGIA,$0.00B
BENSON,NORTH DAKOTA,$0.00B
NORTHAMPTON,NORTH CAROLINA,$0.00B
CATOOSA,GEORGIA,$0.00B
OCEANA,MICHIGAN,$0.00B
GARVIN,OKLAHOMA,$0.00B
WATAUGA,NORTH CAROLINA,$0.00B
MARION,MISSISSIPPI,$0.00B
AUDRAIN,MISSOURI,$0.00B
ROBERTSON,TEXAS,$0.00B
HALIFAX,VIRGINIA,$0.00B
CARROLL,TENNESSEE,$0.00B
MADISON,IDAHO,$0.00B
OTTER TAIL,MINNESOTA,$0.00B
HENRY,INDIANA,$0.00B
ADAIR,KENTUCKY,$0.00B
LARUE,KENTUCKY,$0.00B
CHAMBERS,ALABAMA,$0.00B
GALAX CITY,VIRGINIA,$0.00B
PUTNAM,INDIANA,$0.00B
JACKSON,WISCONSIN,$0.00B
OWSLEY,KENTUCKY,$0.00B
SHIAWASSEE,MICHIGAN,$0.00B
CATAHOULA,LOUISIANA,$0.00B
CALHOUN,FLORIDA,$0.00B
OVERTON,TENNESSEE,$0.00B
DIVIDE,NORTH DAKOTA,$0.00B
JACKSON,GEORGIA,$0.00B
MILAM,TEXAS,$0.00B
WILLIAMS,OHIO,$0.00B
KALKASKA,MICHIGAN,$0.00B
EMMONS,NORTH DAKOTA,$0.00B
VAN WERT,OHIO,$0.00B
EFFINGHAM,ILLINOIS,$0.00B
TALLAPOOSA,ALABAMA,$0.00B
DILLINGHAM (CA),ALASKA,$0.00B
ROCKBRIDGE,VIRGINIA,$0.00B
CHARLOTTE,VIRGINIA,$0.00B
MCDONALD,MISSOURI,$0.00B
TODD,SOUTH DAKOTA,$0.00B
BEN HILL,GEORGIA,$0.00B
WILLIAMSBURG,SOUTH CAROLINA,$0.00B
POLK,MISSOURI,$0.00B
COLUMBIA,FLORIDA,$0.00B
CLAY,KANSAS,$0.00B
JERSEY,ILLINOIS,$0.00B
GALLIA,OHIO,$0.00B
FRANKLIN,VERMONT,$0.00B
FULTON,INDIANA,$0.00B
BANNER,NEBRASKA,$0.00B
IDA,IOWA,$0.00B
LIVINGSTON,ILLINOIS,$0.00B
JEFFERSON,GEORGIA,$0.00B
LYON,MINNESOTA,$0.00B
NANTUCKET,MASSACHUSETTS,$0.00B
KITTITAS,WASHINGTON,$0.00B
MCMULLEN,TEXAS,$0.00B
POLK,NORTH CAROLINA,$0.00B
SWEETWATER,WYOMING,$0.00B
SEVIER,UTAH,$0.00B
RINGGOLD,IOWA,$0.00B
BREATHITT,KENTUCKY,$0.00B
FAJARDO,PUERTO RICO,$0.00B
VERMILLION,INDIANA,$0.00B
ROBERTS,SOUTH DAKOTA,$0.00B
BRANTLEY,GEORGIA,$0.00B
TREASURE,MONTANA,$0.00B
PRINCE WALES HYDER,ALASKA,$0.00B
IONIA,MICHIGAN,$0.00B
MOULTRIE,ILLINOIS,$0.00B
DODGE,MINNESOTA,$0.00B
STONE,ARKANSAS,$0.00B
EAST CARROLL,LOUISIANA,$0.00B
BEADLE,SOUTH DAKOTA,$0.00B
LAWRENCE,ARKANSAS,$0.00B
GARFIELD,MONTANA,$0.00B
OWYHEE,IDAHO,$0.00B
ECTOR,TEXAS,$0.00B
HARVEY,KANSAS,$0.00B
AMHERST,VIRGINIA,$0.00B
CONWAY,ARKANSAS,$0.00B
HOWARD,INDIANA,$0.00B
FOUNTAIN,INDIANA,$0.00B
HEMPHILL,TEXAS,$0.00B
COCKE,TENNESSEE,$0.00B
HUBBARD,MINNESOTA,$0.00B
FENTRESS,TENNESSEE,$0.00B
KNOX,OHIO,$0.00B
EMMET,MICHIGAN,$0.00B
HARRISON,KENTUCKY,$0.00B
WILKINSON,MISSISSIPPI,$0.00B
GREENE,MISSISSIPPI,$0.00B
BAMBERG,SOUTH CAROLINA,$0.00B
KANE,UTAH,$0.00B
SWIFT,MINNESOTA,$0.00B
WILBARGER,TEXAS,$0.00B
WADENA,MINNESOTA,$0.00B
RANDOLPH,GEORGIA,$0.00B
DAWSON,GEORGIA,$0.00B
HUDSPETH,TEXAS,$0.00B
HAMILTON,ILLINOIS,$0.00B
JONES,NORTH CAROLINA,$0.00B
HENDERSON,TEXAS,$0.00B
GILCHRIST,FLORIDA,$0.00B
CHEROKEE,IOWA,$0.00B
WETZEL,WEST VIRGINIA,$0.00B
WOODSON,KANSAS,$0.00B
BARRON,WISCONSIN,$0.00B
CASS,TEXAS,$0.00B
CHOCTAW,ALABAMA,$0.00B
WALWORTH,SOUTH DAKOTA,$0.00B
SAN SEBASTIAN,PUERTO RICO,$0.00B
OBION,TENNESSEE,$0.00B
HILLSDALE,MICHIGAN,$0.00B
YALOBUSHA,MISSISSIPPI,$0.00B
HARDIN,TEXAS,$0.00B
PLEASANTS,WEST VIRGINIA,$0.00B
FLEMING,KENTUCKY,$0.00B
BROOKS,GEORGIA,$0.00B
OSAGE,MISSOURI,$0.00B
MOODY,SOUTH DAKOTA,$0.00B
NEWBERRY,SOUTH CAROLINA,$0.00B
HOPEWELL CITY,VIRGINIA,$0.00B
CALHOUN,ILLINOIS,$0.00B
STAUNTON CITY,VIRGINIA,$0.00B
LINCOLN,WYOMING,$0.00B
HENRY,TENNESSEE,$0.00B
SIOUX,NORTH DAKOTA,$0.00B
GARRARD,KENTUCKY,$0.00B
HAND,SOUTH DAKOTA,$0.00B
BOND,ILLINOIS,$0.00B
CALHOUN,WEST VIRGINIA,$0.00B
DIMMIT,TEXAS,$0.00B
WOOD,WISCONSIN,$0.00B
DECATUR,IOWA,$0.00B
NOBLES,MINNESOTA,$0.00B
GRATIOT,MICHIGAN,$0.00B
GUERNSEY,OHIO,$0.00B
CROOK,OREGON,$0.00B
FRANKLIN,KANSAS,$0.00B
HENRY,MISSOURI,$0.00B
BRACKEN,KENTUCKY,$0.00B
JACKSON,TENNESSEE,$0.00B
REYNOLDS,MISSOURI,$0.00B
PUTNAM,GEORGIA,$0.00B
DUNN,WISCONSIN,$0.00B
MORGAN,TENNESSEE,$0.00B
GATES,NORTH CAROLINA,$0.00B
LAKE,SOUTH DAKOTA,$0.00B
MCCULLOCH,TEXAS,$0.00B
MORGAN,OHIO,$0.00B
BENTON,MISSISSIPPI,$0.00B
DEFIANCE,OHIO,$0.00B
GONZALES,TEXAS,$0.00B
LAMAR,ALABAMA,$0.00B
YAUCO,PUERTO RICO,$0.00B
DELAWARE,IOWA,$0.00B
GUAYAMA,PUERTO RICO,$0.00B
JACKSON,INDIANA,$0.00B
FOARD,TEXAS,$0.00B
DEKALB,INDIANA,$0.00B
JOHNSON,ARKANSAS,$0.00B
HARPER,OKLAHOMA,$0.00B
ALEXANDER,NORTH CAROLINA,$0.00B
DUNN,NORTH DAKOTA,$0.00B
DARKE,OHIO,$0.00B
ELK,KANSAS,$0.00B
STANTON,NEBRASKA,$0.00B
IRON,WISCONSIN,$0.00B
FRIO,TEXAS,$0.00B
EVANS,GEORGIA,$0.00B
KNOX,TEXAS,$0.00B
MORGAN,GEORGIA,$0.00B
TRIGG,KENTUCKY,$0.00B
HEARD,GEORGIA,$0.00B
TILLMAN,OKLAHOMA,$0.00B
HART,KENTUCKY,$0.00B
WILCOX,GEORGIA,$0.00B
FLOYD,TEXAS,$0.00B
VAN BUREN,ARKANSAS,$0.00B
WASHINGTON,LOUISIANA,$0.00B
VINTON,OHIO,$0.00B
YUMA,COLORADO,$0.00B
BIG HORN,WYOMING,$0.00B
KOOCHICHING,MINNESOTA,$0.00B
BOTTINEAU,NORTH DAKOTA,$0.00B
HOWARD,IOWA,$0.00B
ASHLAND,WISCONSIN,$0.00B
RIPLEY,INDIANA,$0.00B
SENECA,OHIO,$0.00B
LYON,IOWA,$0.00B
LEMHI,IDAHO,$0.00B
LEE,VIRGINIA,$0.00B
BON HOMME,SOUTH DAKOTA,$0.00B
ABBEVILLE,SOUTH CAROLINA,$0.00B
COVINGTON CITY,VIRGINIA,$0.00B
MOWER,MINNESOTA,$0.00B
GREENWOOD,SOUTH CAROLINA,$0.00B
MARION,MISSOURI,$0.00B
BOISE,IDAHO,$0.00B
CUSTER,MONTANA,$0.00B
MARSHALL,MINNESOTA,$0.00B
OTSEGO,MICHIGAN,$0.00B
OGEMAW,MICHIGAN,$0.00B
ADAMS,OHIO,$0.00B
SAN MIGUEL,COLORADO,$0.00B
DILLON,SOUTH CAROLINA,$0.00B
CHRISTIAN,MISSOURI,$0.00B
RANDOLPH,ARKANSAS,$0.00B
LEWIS,IDAHO,$0.00B
ST. THOMAS,VIRGIN ISLANDS,$0.00B
MIFFLIN,PENNSYLVANIA,$0.00B
CUSTER,SOUTH DAKOTA,$0.00B
KEWEENAW,MICHIGAN,$0.00B
CLAIBORNE,MISSISSIPPI,$0.00B
MARLBORO,SOUTH CAROLINA,$0.00B
BIBB,ALABAMA,$0.00B
NEWTON,INDIANA,$0.00B
ARCHER,TEXAS,$0.00B
WHITE,ARKANSAS,$0.00B
WHITFIELD,GEORGIA,$0.00B
OTTAWA,KANSAS,$0.00B
IOWA,WISCONSIN,$0.00B
COLONIAL HEIGHTS CITY,VIRGINIA,$0.00B
OGLETHORPE,GEORGIA,$0.00B
CONECUH,ALABAMA,$0.00B
CALDWELL,TEXAS,$0.00B
LINCOLN,WASHINGTON,$0.00B
PENNINGTON,MINNESOTA,$0.00B
IRON,MISSOURI,$0.00B
GILMER,GEORGIA,$0.00B
MARSHALL,KENTUCKY,$0.00B
BARRY,MISSOURI,$0.00B
GRAINGER,TENNESSEE,$0.00B
CAMDEN,NORTH CAROLINA,$0.00B
DUPLIN,NORTH CAROLINA,$0.00B
PINE,MINNESOTA,$0.00B
SUMTER,ALABAMA,$0.00B
CONEJOS,COLORADO,$0.00B
CHICKASAW,IOWA,$0.00B
HEMPSTEAD,ARKANSAS,$0.00B
OHIO,KENTUCKY,$0.00B
RUNNELS,TEXAS,$0.00B
WEBSTER,KENTUCKY,$0.00B
ISANTI,MINNESOTA,$0.00B
HAAKON,SOUTH DAKOTA,$0.00B
LLANO,TEXAS,$0.00B
POLK,TEXAS,$0.00B
GULF,FLORIDA,$0.00B
WHITE PINE,NEVADA,$0.00B
TAMA,IOWA,$0.00B
SCOTLAND,MISSOURI,$0.00B
SEMINOLE,GEORGIA,$0.00B
DALLAS,MISSOURI,$0.00B
OXFORD,MAINE,$0.00B
UNION,TENNESSEE,$0.00B
CASEY,KENTUCKY,$0.00B
WHITLEY,KENTUCKY,$0.00B
WYANDOT,OHIO,$0.00B
GORDON,GEORGIA,$0.00B
MONTAGUE,TEXAS,$0.00B
SCOTT,ILLINOIS,$0.00B
UNION,LOUISIANA,$0.00B
COLFAX,NEBRASKA,$0.00B
MOROVIS,PUERTO RICO,$0.00B
LEE,ILLINOIS,$0.00B
BENZIE,MICHIGAN,$0.00B
WAYNE,MISSISSIPPI,$0.00B
ALGER,MICHIGAN,$0.00B
GREENE,GEORGIA,$0.00B
VILLALBA,PUERTO RICO,$0.00B
PULASKI,INDIANA,$0.00B
WHITE,TENNESSEE,$0.00B
GENEVA,ALABAMA,$0.00B
LAMB,TEXAS,$0.00B
PARK,COLORADO,$0.00B
MCDONOUGH,ILLINOIS,$0.00B
GALLATIN,ILLINOIS,$0.00B
WINNESHIEK,IOWA,$0.00B
GLACIER,MONTANA,$0.00B
BLECKLEY,GEORGIA,$0.00B
WASHINGTON,INDIANA,$0.00B
HUTCHINSON,SOUTH DAKOTA,$0.00B
CRAWFORD,IOWA,$0.00B
SCOTT,ARKANSAS,$0.00B
WAYNE,TENNESSEE,$0.00B
MARSHALL,WEST VIRGINIA,$0.00B
MONTGOMERY,ARKANSAS,$0.00B
SABINE,TEXAS,$0.00B
JONES,GEORGIA,$0.00B
BARBOUR,ALABAMA,$0.00B
IZARD,ARKANSAS,$0.00B
HAMILTON,NEW YORK,$0.00B
GUTHRIE,IOWA,$0.00B
GRANT,SOUTH DAKOTA,$0.00B
CRAWFORD,MISSOURI,$0.00B
DAWES,NEBRASKA,$0.00B
CARROLL,NEW HAMPSHIRE,$0.00B
WILSON,KANSAS,$0.00B
AMELIA,VIRGINIA,$0.00B
PALO ALTO,IOWA,$0.00B
CHICKASAW,MISSISSIPPI,$0.00B
DAKOTA,NEBRASKA,$0.00B
MOORE,TEXAS,$0.00B
BARBOUR,WEST VIRGINIA,$0.00B
ROSEAU,MINNESOTA,$0.00B
SIMPSON,KENTUCKY,$0.00B
SUMTER,GEORGIA,$0.00B
LAVACA,TEXAS,$0.00B
BAKER,FLORIDA,$0.00B
MCHENRY,NORTH DAKOTA,$0.00B
NO COUNTY LISTED,AMERICAN SAMOA,$0.00B
PRENTISS,MISSISSIPPI,$0.00B
OKMULGEE,OKLAHOMA,$0.00B
SEWARD,NEBRASKA,$0.00B
PRICE,WISCONSIN,$0.00B
EDWARDS,TEXAS,$0.00B
GUNNISON,COLORADO,$0.00B
JEFFERSON,MONTANA,$0.00B
LOGAN,WEST VIRGINIA,$0.00B
BARCELONETA,PUERTO RICO,$0.00B
DADE,GEORGIA,$0.00B
WIRT,WEST VIRGINIA,$0.00B
CHESTER,SOUTH CAROLINA,$0.00B
HANCOCK,GEORGIA,$0.00B
CASS,IOWA,$0.00B
KEMPER,MISSISSIPPI,$0.00B
CLARKE,VIRGINIA,$0.00B
MORGAN,MISSOURI,$0.00B
CLAY,MISSISSIPPI,$0.00B
LINCOLN,MISSISSIPPI,$0.00B
NOXUBEE,MISSISSIPPI,$0.00B
PAMLICO,NORTH CAROLINA,$0.00B
RICHLAND,NORTH DAKOTA,$0.00B
GREEN,KENTUCKY,$0.00B
JACKSON,OHIO,$0.00B
SARGENT,NORTH DAKOTA,$0.00B
SHARP,ARKANSAS,$0.00B
MCCONE,MONTANA,$0.00B
VEGA BAJA,PUERTO RICO,$0.00B
HAMILTON,TEXAS,$0.00B
CARROLL,KENTUCKY,$0.00B
WASHINGTON,KANSAS,$0.00B
WOODFORD,KENTUCKY,$0.00B
FILLMORE,MINNESOTA,$0.00B
GRANT,ARKANSAS,$0.00B
BELMONT,OHIO,$0.00B
PARK,MONTANA,$0.00B
MASON,TEXAS,$0.00B
LACLEDE,MISSOURI,$0.00B
TERRELL,GEORGIA,$0.00B
MACON,GEORGIA,$0.00B
ELBERT,COLORADO,$0.00B
LOGAN,KENTUCKY,$0.00B
BOUNDARY,IDAHO,$0.00B
MONROE,GEORGIA,$0.00B
COLUMBIA,WISCONSIN,$0.00B
ATOKA,OKLAHOMA,$0.00B
MADISON,GEORGIA,$0.00B
CARBON,UTAH,$0.00B
MONTEZUMA,COLORADO,$0.00B
CAMDEN,MISSOURI,$0.00B
ANDREW,MISSOURI,$0.00B
JUDITH BASIN,MONTANA,$0.00B
HARRISON,MISSOURI,$0.00B
PERRY,ALABAMA,$0.00B
MALHEUR,OREGON,$0.00B
WASHINGTON,MISSOURI,$0.00B
CLAY,NORTH CAROLINA,$0.00B
GILA,ARIZONA,$0.00B
SEQUATCHIE,TENNESSEE,$0.00B
ROLETTE,NORTH DAKOTA,$0.00B
COTTON,OKLAHOMA,$0.00B
DINWIDDIE,VIRGINIA,$0.00B
DICKINSON,IOWA,$0.00B
METCALFE,KENTUCKY,$0.00B
LYNCHBURG (CITY),VIRGINIA,$0.00B
MADISON,IOWA,$0.00B
CARROLL,VIRGINIA,$0.00B
GRAND,COLORADO,$0.00B
MARSHALL,TENNESSEE,$0.00B
MASON,KENTUCKY,$0.00B
HUMPHREYS,TENNESSEE,$0.00B
FRANKLIN,NORTH CAROLINA,$0.00B
HARDIN,IOWA,$0.00B
JACKSON,FLORIDA,$0.00B
BIG HORN,MONTANA,$0.00B
MILLS,IOWA,$0.00B
CLINCH,GEORGIA,$0.00B
LASALLE,ILLINOIS,$0.00B
PETERSBURG,ALASKA,$0.00B
FOREST,WISCONSIN,$0.00B
HABERSHAM,GEORGIA,$0.00B
CHAUTAUQUA,KANSAS,$0.00B
CHRISTIAN,ILLINOIS,$0.00B
JENKINS,GEORGIA,$0.00B
RICHLAND,WISCONSIN,$0.00B
HOLT,NEBRASKA,$0.00B
WINSTON,ALABAMA,$0.00B
GENTRY,MISSOURI,$0.00B
PREBLE,OHIO,$0.00B
PAYETTE,IDAHO,$0.00B
HENRY,IOWA,$0.00B
HAMILTON,NEBRASKA,$0.00B
BROOKE,WEST VIRGINIA,$0.00B
MAVERICK,TEXAS,$0.00B
LINCOLN,GEORGIA,$0.00B
TAYLOR,WISCONSIN,$0.00B
EASTLAND,TEXAS,$0.00B
GRANT,WEST VIRGINIA,$0.00B
MARTIN,MINNESOTA,$0.00B
ELLIOTT,KENTUCKY,$0.00B
HARDEE,FLORIDA,$0.00B
ISSAQUENA,MISSISSIPPI,$0.00B
SAN JUAN,UTAH,$0.00B
MARSHALL,MISSISSIPPI,$0.00B
MCDOWELL,NORTH CAROLINA,$0.00B
ST. CHARLES,MISSOURI,$0.00B
MCINTOSH,NORTH DAKOTA,$0.00B
SAN GERMAN,PUERTO RICO,$0.00B
CULBERSON,TEXAS,$0.00B
CUSTER,IDAHO,$0.00B
WEBSTER,WEST VIRGINIA,$0.00B
GREENE,NORTH CAROLINA,$0.00B
GEORGE,MISSISSIPPI,$0.00B
PEPIN,WISCONSIN,$0.00B
PIKE,GEORGIA,$0.00B
SHELBY,MISSOURI,$0.00B
KIOWA,OKLAHOMA,$0.00B
GOSHEN,WYOMING,$0.00B
FREMONT,IDAHO,$0.00B
FRANKLIN,LOUISIANA,$0.00B
ALFALFA,OKLAHOMA,$0.00B
JONES,TEXAS,$0.00B
WABAUNSEE,KANSAS,$0.00B
WASHINGTON,IOWA,$0.00B
PULASKI,GEORGIA,$0.00B
FOSTER,NORTH DAKOTA,$0.00B
POWELL,MONTANA,$0.00B
TYRRELL,NORTH CAROLINA,$0.00B
OWEN,INDIANA,$0.00B
OTERO,COLORADO,$0.00B
RIO BLANCO,COLORADO,$0.00B
WOODFORD,ILLINOIS,$0.00B
ADAMS,WISCONSIN,$0.00B
FLOYD,VIRGINIA,$0.00B
MAHASKA,IOWA,$0.00B
LEON,TEXAS,$0.00B
BECKER,MINNESOTA,$0.00B
WEBSTER,NEBRASKA,$0.00B
LAMAR,GEORGIA,$0.00B
UINTAH,UTAH,$0.00B
ALCORN,MISSISSIPPI,$0.00B
OZARK,MISSOURI,$0.00B
TOA ALTA,PUERTO RICO,$0.00B
TOOLE,MONTANA,$0.00B
MARTIN,KENTUCKY,$0.00B
NOBLE,OKLAHOMA,$0.00B
DEARBORN,INDIANA,$0.00B
PROWERS,COLORADO,$0.00B
LIMESTONE,TEXAS,$0.00B
VALLEY,IDAHO,$0.00B
STEWART,GEORGIA,$0.00B
KANABEC,MINNESOTA,$0.00B
COAMO,PUERTO RICO,$0.00B
WYTHE,VIRGINIA,$0.00B
JERAULD,SOUTH DAKOTA,$0.00B
IOWA,IOWA,$0.00B
GRAYSON,VIRGINIA,$0.00B
BUTLER,NEBRASKA,$0.00B
CAMPBELL,SOUTH DAKOTA,$0.00B
HUMBOLDT,IOWA,$0.00B
MARION,ALABAMA,$0.00B
JEFFERSON,FLORIDA,$0.00B
EDGEFIELD,SOUTH CAROLINA,$0.00B
PUTNAM,OHIO,$0.00B
FAYETTE,OHIO,$0.00B
WALKER,GEORGIA,$0.00B
ESTILL,KENTUCKY,$0.00B
SAMPSON,NORTH CAROLINA,$0.00B
BOWMAN,NORTH DAKOTA,$0.00B
SCOTT,VIRGINIA,$0.00B
EARLY,GEORGIA,$0.00B
TERRELL,TEXAS,$0.00B
MORGAN,COLORADO,$0.00B
MONTGOMERY,KENTUCKY,$0.00B
JACKSON,WEST VIRGINIA,$0.00B
WAYNE,GEORGIA,$0.00B
RENVILLE,MINNESOTA,$0.00B
PONTOTOC,MISSISSIPPI,$0.00B
SHANNON,MISSOURI,$0.00B
DESOTO,FLORIDA,$0.00B
ROOKS,KANSAS,$0.00B
WALTON,GEORGIA,$0.00B
MITCHELL,GEORGIA,$0.00B
CALHOUN,IOWA,$0.00B
HARALSON,GEORGIA,$0.00B
WAPELLO,IOWA,$0.00B
POCAHONTAS,WEST VIRGINIA,$0.00B
TRAILL,NORTH DAKOTA,$0.00B
BUTLER,KENTUCKY,$0.00B
CAMPBELL,WYOMING,$0.00B
WINNEBAGO,IOWA,$0.00B
CLEBURNE,ALABAMA,$0.00B
LINCOLN,WISCONSIN,$0.00B
UVALDE,TEXAS,$0.00B
DE SOTO,LOUISIANA,$0.00B
FLOYD,IOWA,$0.00B
CLINTON,INDIANA,$0.00B
YELLOW MEDICINE,MINNESOTA,$0.00B
MARTIN,NORTH CAROLINA,$0.00B
MACKINAC,MICHIGAN,$0.00B
ARMSTRONG,TEXAS,$0.00B
PIERCE,NEBRASKA,$0.00B
HAMPTON,SOUTH CAROLINA,$0.00B
MURRAY,OKLAHOMA,$0.00B
CALLAHAN,TEXAS,$0.00B
GOGEBIC,MICHIGAN,$0.00B
PICKENS,ALABAMA,$0.00B
GRADY,GEORGIA,$0.00B
JUAB,UTAH,$0.00B
NEVADA,ARKANSAS,$0.00B
PHILLIPS,KANSAS,$0.00B
SAN JACINTO,TEXAS,$0.00B
LAGRANGE,INDIANA,$0.00B
MADISON,TEXAS,$0.00B
TWIGGS,GEORGIA,$0.00B
COLQUITT,GEORGIA,$0.00B
ADAMS,WASHINGTON,$0.00B
CLARE,MICHIGAN,$0.00B
BOLLINGER,MISSOURI,$0.00B
PRESIDIO,TEXAS,$0.00B
HERTFORD,NORTH CAROLINA,$0.00B
MILLER,GEORGIA,$0.00B
FLORENCE,WISCONSIN,$0.00B
HUTCHINSON,TEXAS,$0.00B
RICHLAND,LOUISIANA,$0.00B
TROUSDALE,TENNESSEE,$0.00B
NACOGDOCHES,TEXAS,$0.00B
CONVERSE,WYOMING,$0.00B
CHESTERFIELD,SOUTH CAROLINA,$0.00B
YOUNG,TEXAS,$0.00B
AURORA,SOUTH DAKOTA,$0.00B
NEWAYGO,MICHIGAN,$0.00B
PERRY,MISSISSIPPI,$0.00B
BUTLER,ALABAMA,$0.00B
CLINTON,MISSOURI,$0.00B
WASHINGTON,ALABAMA,$0.00B
WEST CARROLL,LOUISIANA,$0.00B
SHACKELFORD,TEXAS,$0.00B
SALINE,NEBRASKA,$0.00B
CARBON,WYOMING,$0.00B
CHILDRESS,TEXAS,$0.00B
WALSH,NORTH DAKOTA,$0.00B
EDGAR,ILLINOIS,$0.00B
UTUADO,PUERTO RICO,$0.00B
WELLS,NORTH DAKOTA,$0.00B
SAINT FRANCIS,ARKANSAS,$0.00B
LAKE,MICHIGAN,$0.00B
JEFFERSON DAVIS,MISSISSIPPI,$0.00B
MANATI,PUERTO RICO,$0.00B
ARENAC,MICHIGAN,$0.00B
CHEYENNE,COLORADO,$0.00B
FAYETTE,INDIANA,$0.00B
LATIMER,OKLAHOMA,$0.00B
QUEBRADILLAS,PUERTO RICO,$0.00B
SPALDING,GEORGIA,$0.00B
BILLINGS,NORTH DAKOTA,$0.00B
STARK,ILLINOIS,$0.00B
STEPHENS,TEXAS,$0.00B
GILLIAM,OREGON,$0.00B
RICHMOND,VIRGINIA,$0.00B
BENTON,IOWA,$0.00B
REDWOOD,MINNESOTA,$0.00B
HOUSTON,TENNESSEE,$0.00B
BURT,NEBRASKA,$0.00B
CLAIBORNE,LOUISIANA,$0.00B
BENEWAH,IDAHO,$0.00B
TRAVERSE,MINNESOTA,$0.00B
WAUSHARA,WISCONSIN,$0.00B
SHERIDAN,MONTANA,$0.00B
RICHLAND,MONTANA,$0.00B
SAN SABA,TEXAS,$0.00B
